num_row,num_colum,num_track,max_delay,num_ipin_side1,num_ipin_side2,num_ipin_side3,num_otrack_side1,num_otrack_side2,num_otrack_side3,num_otrack_side4,num_itrack_side1,num_itrack_side2,num_itrack_side3,num_itrack_side4,area,throughput,ii,failtureRate
4,6,4,7,1,0,1,0,4,2,3,4,1,0,3,895543.2399999999,0.868195,140.0,0.0
7,4,3,4,1,0,1,0,1,3,2,1,0,3,3,990061.42,1.19375,100.0,0.0
4,5,1,7,2,1,2,3,3,2,3,4,2,0,0,601837.46,0.81378,150.0,0.0
7,5,3,6,2,0,1,0,4,3,1,1,1,2,2,1212385.25,1.34578,95.0,0.0
4,4,1,7,1,2,2,4,3,0,0,4,0,1,3,526310.84,0.772627,158.0,0.0
6,6,2,7,2,1,1,1,1,4,2,1,2,3,4,1178373.8199999994,1.34979,95.0,0.0
7,7,2,5,0,0,2,1,0,1,0,2,1,3,0,1317308.3899999992,1.27425,91.0,0.0
4,4,2,7,1,0,0,4,0,1,0,0,4,2,0,533141.6,0.688816,146.0,0.111111
7,4,4,7,1,0,2,0,4,2,1,4,4,0,0,1141673.94,1.22345,100.0,0.0
5,4,4,5,0,1,0,4,4,3,3,4,0,4,0,819314.4099999999,0.984306,125.0,0.0
6,4,3,2,1,1,0,3,2,4,1,2,1,1,0,793712.5799999998,1.21705,121.0,0.0
7,5,1,2,0,1,2,0,3,3,2,4,4,0,3,892642.27,1.1632,116.0,0.0
6,6,4,2,0,0,2,2,1,1,3,4,2,0,2,1162994.4399999997,0.965361,134.0,0.0
7,6,1,4,2,2,2,0,4,2,4,0,2,0,3,1107755.3599999994,1.4676,92.0,0.0
7,7,1,5,0,1,0,0,0,0,1,4,4,4,2,1186582.1099999994,1.05858,100.0,0.0
5,7,4,3,2,2,1,1,0,3,0,4,0,0,4,1106886.73,0.932383,129.0,0.0
4,7,1,4,0,0,2,4,0,1,1,3,3,2,0,675967.0999999997,0.785261,147.0,0.0
6,6,4,5,0,0,1,1,0,0,1,3,1,2,4,1200958.8199999994,1.11851,95.0,0.0
6,5,1,2,2,2,1,4,1,2,4,4,0,0,3,777231.3400000001,0.911319,135.0,0.0
4,5,2,3,0,0,2,0,4,0,4,4,0,0,4,578044.46,0.738471,159.0,0.0
5,5,4,2,1,2,0,0,4,3,1,2,0,3,4,874376.01,1.04977,131.0,0.0
5,4,1,4,2,2,1,3,1,1,0,2,2,4,2,624019.38,1.12762,125.0,0.0
7,7,1,6,0,1,2,0,2,1,2,1,1,4,2,1299419.0299999993,1.50341,90.0,0.0
6,4,1,3,1,1,1,0,1,3,1,0,2,1,2,686219.04,1.20393,109.0,0.0
4,4,2,6,1,2,1,0,4,3,4,2,0,2,0,562725.04,0.839275,156.0,0.0
5,4,3,7,0,2,1,0,4,3,4,2,0,1,4,781573.98,1.05815,125.0,0.0
5,7,1,6,0,2,0,0,1,0,3,4,4,2,4,910914.7299999995,1.13719,110.0,0.0
4,6,4,3,2,0,0,3,2,0,1,2,0,3,1,752574.46,0.808391,149.0,0.0
4,7,4,3,1,1,1,4,3,4,4,3,1,1,0,927597.9799999997,0.911783,147.0,0.0
6,6,4,3,1,0,1,1,1,0,2,1,3,2,0,1090407.6699999997,1.18042,107.0,0.0
5,4,2,6,0,2,1,0,2,1,4,1,1,1,2,698765.18,1.08765,125.0,0.0
5,4,1,6,2,2,1,4,3,2,0,0,4,4,2,645543.26,1.13045,124.0,0.0
5,7,4,6,2,0,1,0,3,3,4,4,0,1,1,1204564.3299999998,1.16634,110.0,0.0
